Site,Long,Lat,Evel,Nvel,SigVe,SigVn,Cor,Solution,X,Y
BUR0,44.287,40.381,2.08,7.4,0.41,0.4,-0.019,Reilinger,3482907.015,3397284.137
BZGN,44.3922,39.3792,4.97,7.95,0.22,0.41,0.002,IPGN,3527625.939,3453565.901
CATK,43.061,38.007,-2.99,13.24,0.82,0.81,-0.003,Reilinger,3676480.204,3435698.396
CHBR,60.6511,25.2808,2.09,4.85,0.32,0.89,0.001,IPGN,2828421.973,5030124.604
CHEL,50.098,32.482,-4.21,17.36,1.64,1.62,0,Raeesi,3454699.422,4131481.078
CHIT,51.2132,35.7287,-1.55,12.31,0.44,0.47,0.002,IPGN,3247154.568,4040551.638
CHO0,44.276,40.736,1.67,7.41,0.44,0.42,-0.019,Reilinger,3465206.679,3378720.949
CHSH,50.988,35.088,-1.76,11.19,0.43,0.43,-0.001,Raeesi,3288936.719,4059759.768
CHSM,50.9894,35.0876,-1.2,12.13,0.1,0.09,0.019,IPGN,3288853.577,4059859.952
CMCV,57.76,30.537,0.44,9.11,1.64,1.62,0.002,Raeesi,2933134.587,4650535.314
DAMA,52.059,35.701,-1.63,9.63,0.38,0.38,0.01,Raeesi,3188259.444,4089459.05
DAMO,47.744,39.513,7.22,14.71,0.5,0.47,-0.019,Raeesi,3313326.621,3646920.722
DAND,48.183,36.607,0.51,12.11,0.66,0.69,-0.009,Raeesi,3417859.293,3820385.708
DARG,57.589,35.915,-0.26,5.95,0.54,0.54,-0.009,Raeesi,2771886.23,4365940.839
DASH,51.814,29.945,-2.16,15.13,1.57,1.56,0,Raeesi,3419541.467,4347647.947
DBST,57.3302,29.2377,2.87,11.85,0.41,0.83,0.001,IPGN,3006677.077,4688815.291
DBYZ,44.145,39.556,3.71,7.97,0.71,0.72,-0.03,Reilinger,3533540.012,3429624.03
DEDA,50.578,30.99,-0.29,17.36,1.64,1.62,0,Raeesi,3475225.424,4227498.425
DEH2,54.7,28.645,-3.03,13.4,1.28,1.28,0.002,Raeesi,3237046.43,4571844.997
DELO,47.429,32.692,-1.56,16.56,1.76,1.75,0.009,Raeesi,3634853.191,3956890.902
DENA,56.504,28.529,4.27,14.19,1.04,0.96,-0.014,Raeesi,3094913.063,4676612.914
DESL,59.297,31.196,2.06,7.2,1.6,1.59,0.002,Raeesi,2788201.849,4695307.064
DEZF,48.678,32.657,-4.02,17.98,1.66,1.65,0.009,Raeesi,3549123.116,4036754.97
DOGH,58.869,35.108,0.36,5.08,0.64,0.63,-0.016,Raeesi,2700554.776,4471289.316
DRGZ,59.0692,37.4662,-0.3,0.93,0.2,0.19,0.007,IPGN,2605317.771,4347863.015
ERZM,41.3,39.973,-0.34,4.93,0.93,0.98,-0.023,Reilinger,3677163.038,3230466.663
ERZR,41.255,39.906,-0.17,4.35,0.87,0.87,-0.003,Reilinger,3683289.493,3230726.869
ESFA,57.427,37.159,0.87,4.71,0.64,0.65,-0.012,Raeesi,2739974.566,4288830.254
ESFN,57.4946,37.0495,0.87,6.07,0.16,0.18,0.007,IPGN,2738852.075,4298242.59
FAR2,52.106,28.851,-3.08,19.15,1.17,1.16,-0.01,Raeesi,3433899.264,4411991.268
FARM,59.843,35.6961,-0.33,2.27,0.11,0.12,0.014,IPGN,2605169.414,4483866.202
FERD,58.1831,34.0307,-1.25,8.23,0.09,0.11,0.019,IPGN,2789635.652,4496259.907
FINO,55.867,27.651,0.97,18.93,2.33,2.19,0.021,Raeesi,3172421.308,4679838.428
FOIM,51.166,35.4093,-1.29,12.25,0.11,0.11,0.014,IPGN,3263408.092,4053932.504
FOPM,50.84,35.7648,-1.26,11.93,0.2,0.17,0.005,IPGN,3271926.229,4017501.109
GARD,59.197,35.495,-0.3,2.72,0.65,0.64,-0.027,Raeesi,2662208.118,4465364.059
